Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5436    0.017    0.000    0.034    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_twodim_base_impl.py:247(diag)
     2406    0.016    0.000    0.033    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\linalg\_linalg.py:2624(norm)
     3226    0.002    0.000    0.033    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1792(transform)
       80    0.000    0.000    0.032    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2169(__call__)
     1116    0.002    0.000    0.032    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2425(transform_affine)
       80    0.002    0.000    0.032    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1533(get_minorticklocs)
     6595    0.021    0.000    0.032    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:645(__hash__)
        6    0.003    0.001    0.031    0.005 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\tornado\ioloop.py:742(_run_callback)
       80    0.000    0.000    0.030    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2173(tick_values)
      239    0.003    0.000    0.029    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:157(_reset_visual_defaults)
        1    0.000    0.000    0.028    0.028 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:2502(colorbar)
        1    0.000    0.000    0.028    0.028 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:1135(colorbar)
3123/2921    0.004    0.000    0.028    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:145(__exit__)
     1131    0.004    0.000    0.028    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:814(from_extents)
